,store_uid,store_desc,store_name,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude
0,85308_containerstore_glendale,Container Store,Glendale,7580 W. Bell Rd,,Glendale,AZ,85308,"7580 W. Bell Rd Glendale, AZ 85308",33.6398132,-112.2223196
1,23233_containerstore_richmond,Container Store,Richmond,11732 W Broad St,Suite PP1B,Richmond,VA,23233,"11732 W Broad St Richmond, VA 23233",37.6536924,-77.6150483
2,20190_containerstore_reston,Container Store,Reston,1851 Fountain Dr.,,Reston,VA,20190,"1851 Fountain Dr. Reston, VA 20190",38.9616959,-77.3549644
3,22201_containerstore_arlington,Container Store,Arlington,2800 Clarendon Blvd.,R-750,Arlington,VA,22201,"2800 Clarendon Blvd. Arlington, VA 22201",38.8875055,-77.092154
4,84107_containerstore_murray,Container Store,Murray,6191 S. State St,Suite 400,Murray,UT,84107,"6191 S. State St Murray, UT 84107",40.6361941,-111.8878794
5,77380_containerstore_the_woodlands,Container Store,The Woodlands,1455 Lake Woodlands Drive,,The Woodlands,TX,77380,"1455 Lake Woodlands Drive The Woodlands, TX 77380",30.1672233,-95.4560763
6,76092_containerstore_southlake,Container Store,Southlake,1200 Main Street,,Southlake,TX,76092,"1200 Main Street Southlake, TX 76092",32.9429858,-97.133406
7,78216_containerstore_san_antonio,Container Store,San Antonio,333 NW Loop 410,,San Antonio,TX,78216,"333 NW Loop 410 San Antonio, TX 78216",29.522611,-98.498396
8,75024_containerstore_plano,Container Store,Plano,8460 Parkwood Blvd.,,Plano,TX,75024,"8460 Parkwood Blvd. Plano, TX 75024",33.0920532,-96.8124084
9,77069_containerstore_houston,Container Store,Houston,5466 FM 1960 West,,Houston,TX,77069,"5466 FM 1960 West Houston, TX 77069",29.9816408,-95.5130995
10,77056_containerstore_houston,Container Store,Houston,2511 Post Oak Blvd.,,Houston,TX,77056,"2511 Post Oak Blvd. Houston, TX 77056",29.7415881,-95.4600071
11,76107_containerstore_fort_worth,Container Store,Fort Worth,4601 West Freeway,Suite 500,Fort Worth,TX,76107,"4601 West Freeway Fort Worth, TX 76107",32.7316189,-97.389055
12,75069_containerstore_fairview,Container Store,Fairview,151 East Stacy Road,,Fairview,TX,75069,"151 East Stacy Road Fairview, TX 75069",33.1310132,-96.6532832
13,75225_containerstore_dallas,Container Store,Dallas,7700 West Northwest Highway,,Dallas,TX,75225,"7700 West Northwest Highway Dallas, TX 75225",32.8643045,-96.7745361
14,75240_containerstore_dallas,Container Store,Dallas,13710 Dallas Parkway,Suite B,Dallas,TX,75240,"13710 Dallas Parkway Dallas, TX 75240",32.9340419,-96.8206918
15,77546_containerstore_friendswood,Container Store,Friendswood,18760 Gulf Freeway,,Friendswood,TX,77546,"18760 Gulf Freeway Friendswood, TX 77546",29.5469552,-95.1511601
16,53226_containerstore_wauwatosa,Container Store,Wauwatosa,10400 W. North Avenue,,Wauwatosa,WI,53226,"10400 W. North Avenue Wauwatosa, WI 53226",43.0606994,-88.0429567
17,98188_containerstore_tukwila,Container Store,Tukwila,2437 Southcenter Mall,,Tukwila,WA,98188,"2437 Southcenter Mall Tukwila, WA 98188",47.4588849,-122.257964
18,98004_containerstore_bellevue,Container Store,Bellevue,700 Bellevue Way N.E.,Suite 120,Bellevue,WA,98004,"700 Bellevue Way N.E. Bellevue, WA 98004",47.6172049,-122.2013418
19,22182_containerstore_vienna,Container Store,Vienna,8459 Leesburg Pike,,Vienna,VA,22182,"8459 Leesburg Pike Vienna, VA 22182",38.9246276,-77.2399248
20,78759_containerstore_austin,Container Store,Austin,9629 Research Blvd.,,Austin,TX,78759,"9629 Research Blvd. Austin, TX 78759",30.3896356,-97.7434527
21,76018_containerstore_arlington,Container Store,Arlington,4000 Arlington Highlands Blvd,Suite 101,Arlington,TX,76018,"4000 Arlington Highlands Blvd Arlington, TX 76018",32.679932,-97.109798
22,37215_containerstore_nashville,Container Store,Nashville,2121 Green Hills Village Dr,,Nashville,TN,37215,"2121 Green Hills Village Dr Nashville, TN 37215",36.1074305,-86.8146594
23,38138_containerstore_germantown,Container Store,Germantown,2130 Exeter Rd,Suite 103,Germantown,TN,38138,"2130 Exeter Rd Germantown, TN 38138",35.0907799,-89.8011737
24,02920_containerstore_cranston,Container Store,Cranston,150 Hillside Rd,,Cranston,RI,02920,"150 Hillside Rd Cranston, RI 02920",41.7604202,-71.4574866
25,15237_containerstore_pittsburgh,Container Store,Pittsburgh,8033 McKnight Road,,Pittsburgh,PA,15237,"8033 McKnight Road Pittsburgh, PA 15237",40.5526313,-80.0212657
26,19406_containerstore_king_of_prussia,Container Store,King of Prussia,650 W. Dekalb Pike,,King of Prussia,PA,19406,"650 W. Dekalb Pike King of Prussia, PA 19406",40.0881682,-75.3832079
27,97224_containerstore_tigard,Container Store,Tigard,7417 SW Bridgeport Road,,Tigard,OR,97224,"7417 SW Bridgeport Road Tigard, OR 97224",45.3957385,-122.7536101
28,73112_containerstore_oklahoma_city,Container Store,Oklahoma City,5644 N. Pennsylvania Ave.,,Oklahoma City,OK,73112,"5644 N. Pennsylvania Ave. Oklahoma City, OK 73112",35.5279001,-97.546981
29,43219_containerstore_columbus,Container Store,Columbus,4184 Easton Gateway Drive,,Columbus,OH,43219,"4184 Easton Gateway Drive Columbus, OH 43219",40.0567197,-82.9070389
30,44122_containerstore_beachwood,Container Store,Beachwood,2101 Richmond Rd,,Beachwood,OH,44122,"2101 Richmond Rd Beachwood, OH 44122",41.5005845,-81.4965224
31,45236_containerstore_cincinnati,Container Store,Cincinnati,5901 East Galbraith Road,Suite 130,Cincinnati,OH,45236,"5901 East Galbraith Road Cincinnati, OH 45236",39.2043025,-84.3736758
32,27612_containerstore_raleigh,Container Store,Raleigh,4601 Creedmoor Rd,Suite 100,Raleigh,NC,27612,"4601 Creedmoor Rd Raleigh, NC 27612",35.8449333,-78.6808242
33,28209_containerstore_charlotte,Container Store,Charlotte,4345 Barclay Downs Dr,,Charlotte,NC,28209,"4345 Barclay Downs Dr Charlotte, NC 28209",35.1524675,-80.8338864
34,10710_containerstore_yonkers,Container Store,Yonkers,48 Market Street,,Yonkers,NY,10710,"48 Market Street Yonkers, NY 10710",40.9616324,-73.8555979
35,10601_containerstore_white_plains,Container Store,White Plains,145 Westchester Avenue,,White Plains,NY,10601,"145 Westchester Avenue White Plains, NY 10601",41.0322012,-73.7576226
36,11530_containerstore_garden_city,Container Store,Garden City,902 Old Country Rd,,Garden City,NY,11530,"902 Old Country Rd Garden City, NY 11530",40.7448076,-73.6038542
37,10314_containerstore_staten_island,Container Store,Staten Island,283 Platinum Ave,Suite 1365,Staten Island,NY,10314,"283 Platinum Ave Staten Island, NY 10314",40.5801216,-74.1667504
38,10011_containerstore_new_york,Container Store,New York,629 Sixth Avenue,,New York,NY,10011,"629 Sixth Avenue New York, NY 10011",40.7403461,-73.9952173
39,87110_containerstore_albuquerque,Container Store,Albuquerque,6600 Menaul Blvd,,Albuquerque,NM,87110,"6600 Menaul Blvd Albuquerque, NM 87110",35.105509,-106.5693718
40,07652_containerstore_paramus,Container Store,Paramus,370 Route 17,#1,Paramus,NJ,07652,"370 Route 17 Paramus, NJ 07652",40.9459839,-74.0710441
41,07039_containerstore_livingston,Container Store,Livingston,372 W. Mount Pleasant Ave,,Livingston,NJ,07039,"372 W. Mount Pleasant Ave Livingston, NJ 07039",40.7969656,-74.3405558
42,08002_containerstore_cherry_hill,Container Store,Cherry Hill,2000 Route 38,OP-2,Cherry Hill,NJ,08002,"2000 Route 38 Cherry Hill, NJ 08002",39.942495,-75.0255696
43,08805_containerstore_bound_brook,Container Store,Bound Brook,335 Chimney Rock Rd,,Bound Brook,NJ,08805,"335 Chimney Rock Rd Bound Brook, NJ 08805",40.577125,-74.5609641
44,89119_containerstore_las_vegas,Container Store,Las Vegas,6521 Las Vegas Blvd South,C-103,Las Vegas,NV,89119,"6521 Las Vegas Blvd South Las Vegas, NV 89119",36.0702638,-115.1721595
45,68114_containerstore_omaha,Container Store,Omaha,10000 California St,Suite 2675,Omaha,NE,68114,"10000 California St Omaha, NE 68114",41.2668792,-96.0682503
46,63144_containerstore_st._louis,Container Store,St. Louis,1769 S. Brentwood Blvd.,,St. Louis,MO,63144,"1769 S. Brentwood Blvd. St. Louis, MO 63144",38.625839,-90.3478468
47,55435_containerstore_edina,Container Store,Edina,3825 Gallagher Drive,,Edina,MN,55435,"3825 Gallagher Drive Edina, MN 55435",44.8704253,-93.3273628
48,48083_containerstore_troy,Container Store,Troy,805 E Big Beaver Rd,,Troy,MI,48083,"805 E Big Beaver Rd Troy, MI 48083",42.564155,-83.132021
49,48377_containerstore_novi,Container Store,Novi,43525 W. Oaks Dr,,Novi,MI,48377,"43525 W. Oaks Dr Novi, MI 48377",42.4900222,-83.4778577
50,01960_containerstore_peabody,Container Store,Peabody,210 Andover Street,LL01,Peabody,MA,01960,"210 Andover Street Peabody, MA 01960",42.5414196,-70.9445901
51,01760_containerstore_natick,Container Store,Natick,1265 Worcester Street,,Natick,MA,01760,"1265 Worcester Street Natick, MA 01760",42.2997815,-71.3893956
52,02467_containerstore_chestnut_hill,Container Store,Chestnut Hill,55 Boylston St,,Chestnut Hill,MA,02467,"55 Boylston St Chestnut Hill, MA 02467",42.3227831,-71.1687096
53,20852_containerstore_rockville,Container Store,Rockville,1601 Rockville Pike,,Rockville,MD,20852,"1601 Rockville Pike Rockville, MD 20852",39.0635333,-77.1264943
54,21401_containerstore_annapolis,Container Store,Annapolis,2280 Annapolis Mall,,Annapolis,MD,21401,"2280 Annapolis Mall Annapolis, MD 21401",38.9910747,-76.5454317
55,66209_containerstore_overland_park,Container Store,Overland Park,4701 W. 119th St,,Overland Park,KS,66209,"4701 W. 119th St Overland Park, KS 66209",38.9124478,-94.6403132
56,50266_containerstore_west_des_moines,Container Store,West Des Moines,5901 Mills Civic Pkwy,#4500,West Des Moines,IA,50266,"5901 Mills Civic Pkwy West Des Moines, IA 50266",41.5602683,-93.7879611
57,46250_containerstore_indianapolis,Container Store,Indianapolis,4120 E. 82nd St,,Indianapolis,IN,46250,"4120 E. 82nd St Indianapolis, IN 46250",39.9078048,-86.094833
58,60173_containerstore_schaumburg,Container Store,Schaumburg,1460 East Golf Road,,Schaumburg,IL,60173,"1460 East Golf Road Schaumburg, IL 60173",42.0527287,-88.0422691
59,60523_containerstore_oak_brook,Container Store,Oak Brook,610 Oakbrook Center,,Oak Brook,IL,60523,"610 Oakbrook Center Oak Brook, IL 60523",41.8500234,-87.9516302
60,60062_containerstore_northbrook,Container Store,Northbrook,101 Skokie Blvd.,,Northbrook,IL,60062,"101 Skokie Blvd. Northbrook, IL 60062",42.1511247,-87.7990031
61,60605_containerstore_chicago,Container Store,Chicago,150 W. Roosevelt Rd,,Chicago,IL,60605,"150 W. Roosevelt Rd Chicago, IL 60605",41.8688836,-87.6322919
62,60642_containerstore_chicago,Container Store,Chicago,908 West North Avenue,,Chicago,IL,60642,"908 West North Avenue Chicago, IL 60642",41.9110445,-87.652379
63,30346_containerstore_atlanta,Container Store,Atlanta,120 Perimeter Center West,Suite 100,Atlanta,GA,30346,"120 Perimeter Center West Atlanta, GA 30346",33.9260802,-84.3432297
64,30319_containerstore_atlanta,Container Store,Atlanta,3637 Peachtree Road,Suite C,Atlanta,GA,30319,"3637 Peachtree Road Atlanta, GA 30319",33.8534573,-84.3585195
65,30009_containerstore_alpharetta,Container Store,Alpharetta,2740 Old Milton Pkwy,,Alpharetta,GA,30009,"2740 Old Milton Pkwy Alpharetta, GA 30009",34.0695128,-84.2793962
66,33607_containerstore_tampa,Container Store,Tampa,4720 W. Spruce Street,,Tampa,FL,33607,"4720 W. Spruce Street Tampa, FL 33607",27.9591327,-82.5254327
67,33410_containerstore_palm_beach_gardens,Container Store,Palm Beach Gardens,11201 Legacy Ave,,Palm Beach Gardens,FL,33410,"11201 Legacy Ave Palm Beach Gardens, FL 33410",26.8400154,-80.0932123
68,32839_containerstore_orlando,Container Store,Orlando,4088 Millenia Blvd,,Orlando,FL,32839,"4088 Millenia Blvd Orlando, FL 32839",28.4895673,-81.4283705
69,33156_containerstore_miami,Container Store,Miami,7200 N. Kendall Drive,,Miami,FL,33156,"7200 N. Kendall Drive Miami, FL 33156",25.6878245,-80.3109519
70,33009_containerstore_hallandale_beach,Container Store,Hallandale Beach,500 Seabiscuit Trail,Suite 1005,Hallandale Beach,FL,33009,"500 Seabiscuit Trail Hallandale Beach, FL 33009",25.979591,-80.1406395
71,33431_containerstore_boca_raton,Container Store,Boca Raton,6000 Glades Road,Suite 1002,Boca Raton,FL,33431,"6000 Glades Road Boca Raton, FL 33431",26.3652588,-80.1327395
72,20016_containerstore_washington,Container Store,Washington,4500 Wisconsin Avenue,,Washington,DC,20016,"4500 Wisconsin Avenue Washington, DC 20016",38.9484195,-77.0799745
73,19702_containerstore_newark,Container Store,Newark,2200 Fashion Center Blvd,,Newark,DE,19702,"2200 Fashion Center Blvd Newark, DE 19702",39.6739544,-75.6496298
74,80124_containerstore_lone_tree,Container Store,Lone Tree,8687 Park Meadows Center Drive,,Lone Tree,CO,80124,"8687 Park Meadows Center Drive Lone Tree, CO 80124",39.5594483,-104.8777068
75,80021_containerstore_broomfield,Container Store,Broomfield,51 W. FlatIron Crossing Dr.,#ANC02,Broomfield,CO,80021,"51 W. FlatIron Crossing Dr. Broomfield, CO 80021",39.9312215,-105.1320537
76,80920_containerstore_colorado_springs,Container Store,Colorado Springs,1925 Briargate Pkwy,Ste. 611,Colorado Springs,CO,80920,"1925 Briargate Pkwy Colorado Springs, CO 80920",38.9639775,-104.7922973
77,80206_containerstore_denver,Container Store,Denver,3110 E. First Ave,Suite 2010,Denver,CO,80206,"3110 E. First Ave Denver, CO 80206",39.7173062,-104.951206
78,94596_containerstore_walnut_creek,Container Store,Walnut Creek,1100 Locust Street,,Walnut Creek,CA,94596,"1100 Locust Street Walnut Creek, CA 94596",37.8952236,-122.0605735
79,95128_containerstore_san_jose,Container Store,San Jose,3080 Stevens Creek Blvd.,Suite 1000,San Jose,CA,95128,"3080 Stevens Creek Blvd. San Jose, CA 95128",37.3231355,-121.9490732
80,94103_containerstore_san_francisco,Container Store,San Francisco,26 Fourth Street,,San Francisco,CA,94103,"26 Fourth Street San Francisco, CA 94103",37.7846195,-122.4055789
81,92108_containerstore_san_diego,Container Store,San Diego,7097 Friars Road,,San Diego,CA,92108,"7097 Friars Road San Diego, CA 92108",32.769873,-117.1625497
82,95825_containerstore_sacramento,Container Store,Sacramento,2030 Arden Way,,Sacramento,CA,95825,"2030 Arden Way Sacramento, CA 95825",38.5957421,-121.4182069
83,91103_containerstore_pasadena,Container Store,Pasadena,One East Union Street,,Pasadena,CA,91103,"One East Union Street Pasadena, CA 91103",34.1467959,-118.1476647
84,94304_containerstore_palo_alto,Container Store,Palo Alto,500 Stanford Shopping Center,,Palo Alto,CA,94304,"500 Stanford Shopping Center Palo Alto, CA 94304",37.4388322,-122.1726498
85,93036_containerstore_oxnard,Container Store,Oxnard,450 Town Center Drive,,Oxnard,CA,93036,"450 Town Center Drive Oxnard, CA 93036",34.2385178,-119.1767673
86,90036_containerstore_los_angeles,Container Store,Los Angeles,110 S. Fairfax Ave.,A-17,Los Angeles,CA,90036,"110 S. Fairfax Ave. Los Angeles, CA 90036",34.0736848,-118.3608362
87,90245_containerstore_el_segundo,Container Store,El Segundo,710 S Pacific Coast Hwy,,El Segundo,CA,90245,"710 S Pacific Coast Hwy El Segundo, CA 90245",33.8299711,-118.3848356
88,92626_containerstore_costa_mesa,Container Store,Costa Mesa,901-G South Coast Drive,,Costa Mesa,CA,92626,"901-G South Coast Drive Costa Mesa, CA 92626",33.6889044,-117.8929081
89,94925_containerstore_corte_madera,Container Store,Corte Madera,219 Corte Madera Town Center,,Corte Madera,CA,94925,"219 Corte Madera Town Center Corte Madera, CA 94925",37.9285403,-122.5170309
90,90067_containerstore_los_angeles,Container Store,Los Angeles,10250 Santa Monica Blvd.,Suite 218,Los Angeles,CA,90067,"10250 Santa Monica Blvd. Los Angeles, CA 90067",34.0590031,-118.418866
91,72205_containerstore_little_rock,Container Store,Little Rock,209 North University Avenue,Suite 100,Little Rock,AR,72205,"209 North University Avenue Little Rock, AR 72205",34.7525889,-92.3389363
92,85705_containerstore_tucson,Container Store,Tucson,4500 N. Oracle Rd,,Tucson,AZ,85705,"4500 N. Oracle Rd Tucson, AZ 85705",32.2885001,-110.9741348
93,85054_containerstore_phoenix,Container Store,Phoenix,18550 North Scottsdale Road,,Phoenix,AZ,85054,"18550 North Scottsdale Road Phoenix, AZ 85054",33.6537229,-111.9266318
94,85016_containerstore_phoenix,Container Store,Phoenix,4949 N. 20th Street,,Phoenix,AZ,85016,"4949 N. 20th Street Phoenix, AZ 85016",33.5082377,-112.0385548